Time,Position
0.11,0.110006655
0.111,0.111006777
0.112,0.112006899
0.113,0.113007023
0.114,0.114007148
0.115,0.115007274
0.116,0.116007401
0.117,0.117007529
0.118,0.118007658
0.119,0.119007789
0.12,0.12000792
0.121,0.121008053
0.122,0.122008186
0.123,0.123008321
0.124,0.124008457
0.125,0.125008594
0.126,0.126008732
0.127,0.127008871
0.128,0.128009011
0.129,0.129009153
0.13,0.130009295
0.131,0.131009439
0.132,0.132009583
0.133,0.133009729
0.134,0.134009876
0.135,0.135010024
0.136,0.136010173
0.137,0.137010323
0.138,0.138010474
0.139,0.139010627
0.14,0.14001078
0.141,0.141010935
0.142,0.14201109
0.143,0.143011247
0.144,0.144011405
0.145,0.145011564
0.146,0.146011724
0.147,0.147011885
0.148,0.148012047
0.149,0.149012211
0.15,0.150012375
0.151,0.151012541
0.152,0.152012707
0.153,0.153012875
0.154,0.154013044
0.155,0.155013214
0.156,0.156013385
0.157,0.157013557
0.158,0.15801373
0.159,0.159013905
0.16,0.16001408
0.161,0.161014257
0.162,0.162014434
0.163,0.163014613
0.164,0.164014793
0.165,0.165014974
0.166,0.166015156
0.167,0.167015339
0.168,0.168015523
0.169,0.169015709
0.17,0.170015895
0.171,0.171016083
0.172,0.172016271
0.173,0.173016461
0.174,0.174016652
0.175,0.175016844
0.176,0.176017037
0.177,0.177017231
0.178,0.178017426
0.179,0.179017623
0.18,0.18001782
0.181,0.181018019
0.182,0.182018218
0.183,0.183018419
0.184,0.184018621
0.185,0.185018824
0.186,0.186019028
0.187,0.187019233
0.188,0.188019439
0.189,0.189019647
0.19,0.190019855
0.191,0.191020065
0.192,0.192020275
0.193,0.193020487
0.194,0.1940207
0.195,0.195020914
0.196,0.196021129
0.197,0.197021345
0.198,0.198021562
0.199,0.199021781
0.2,0.200022
0.201,0.201022221
0.202,0.202022442
0.203,0.203022665
0.204,0.204022889
0.205,0.205023114
0.206,0.20602334
0.207,0.207023567
0.208,0.208023795
0.209,0.209024025
0.21,0.210024255
0.211,0.211024487
0.212,0.212024719
0.213,0.213024953
0.214,0.214025188
0.215,0.215025424
0.216,0.216025661
0.217,0.217025899
0.218,0.218026138
0.219,0.219026379
0.22,0.22002662
0.221,0.221026863
0.222,0.222027106
0.223,0.223027351
0.224,0.224027597
0.225,0.225027844
0.226,0.226028092
0.227,0.227028341
0.228,0.228028591
0.229,0.229028843
0.23,0.230029095
0.231,0.231029349
0.232,0.232029603
0.233,0.233029859
0.234,0.234030116
0.235,0.235030374
0.236,0.236030633
0.237,0.237030893
0.238,0.238031154
0.239,0.239031417
0.24,0.24003168
0.241,0.241031945
0.242,0.24203221
0.243,0.243032477
0.244,0.244032745
0.245,0.245033014
0.246,0.246033284
0.247,0.247033555
0.248,0.248033827
0.249,0.249034101
0.25,0.250034375
0.251,0.251034651
0.252,0.252034927
0.253,0.253035205
0.254,0.254035484
0.255,0.255035764
0.256,0.256036045
0.257,0.257036327
0.258,0.25803661
0.259,0.259036895
0.26,0.26003718
0.261,0.261037467
0.262,0.262037754
0.263,0.263038043
0.264,0.264038333
0.265,0.265038624
0.266,0.266038916
0.267,0.267039209
0.268,0.268039503
0.269,0.269039799
0.27,0.270040095
0.271,0.271040393
0.272,0.272040691
0.273,0.273040991
0.274,0.274041292
0.275,0.275041594
0.276,0.276041897
0.277,0.277042201
0.278,0.278042506
0.279,0.279042813
0.28,0.28004312
0.281,0.281043429
0.282,0.282043738
0.283,0.283044049
0.284,0.284044361
0.285,0.285044674
0.286,0.286044988
0.287,0.287045303
0.288,0.288045619
0.289,0.289045937
0.29,0.290046255
0.291,0.291046575
0.292,0.292046895
0.293,0.293047217
0.294,0.29404754
0.295,0.295047864
0.296,0.296048189
0.297,0.297048515
0.298,0.298048842
0.299,0.299049171
0.3,0.3000495
0.301,0.301049831
0.302,0.302050162
0.303,0.303050495
0.304,0.304050829
0.305,0.305051164
0.306,0.3060515
0.307,0.307051837
0.308,0.308052175
0.309,0.309052515
0.31,0.310052855
0.311,0.311053197
0.312,0.312053539
0.313,0.313053883
0.314,0.314054228
0.315,0.315054574
0.316,0.316054921
0.317,0.317055269
0.318,0.318055618
0.319,0.319055969
0.32,0.32005632
0.321,0.321056673
0.322,0.322057026
0.323,0.323057381
0.324,0.324057737
0.325,0.325058094
0.326,0.326058452
0.327,0.327058811
0.328,0.328059171
0.329,0.329059533
0.33,0.330059895
0.331,0.331060259
0.332,0.332060623
0.333,0.333060989
0.334,0.334061356
0.335,0.335061724
0.336,0.336062093
0.337,0.337062463
0.338,0.338062834
0.339,0.339063207
0.34,0.34006358
0.341,0.341063955
0.342,0.34206433
0.343,0.343064707
0.344,0.344065085
0.345,0.345065464
0.346,0.346065844
0.347,0.347066225
0.348,0.348066607
0.349,0.349066991
0.35,0.350067375
0.351,0.351067761
0.352,0.352068147
0.353,0.353068535
0.354,0.354068924
0.355,0.355069314
0.356,0.356069705
0.357,0.357070097
0.358,0.35807049
0.359,0.359070885
0.36,0.36007128
0.361,0.361071677
0.362,0.362072074
0.363,0.363072473
0.364,0.364072873
0.365,0.365073274
0.366,0.366073676
0.367,0.367074079
0.368,0.368074483
0.369,0.369074889
0.37,0.370075295
0.371,0.371075703
0.372,0.372076111
0.373,0.373076521
0.374,0.374076932
0.375,0.375077344
0.376,0.376077757
0.377,0.377078171
0.378,0.378078586
0.379,0.379079003
0.38,0.38007942
0.381,0.381079839
0.382,0.382080258
0.383,0.383080679
0.384,0.384081101
0.385,0.385081524
0.386,0.386081948
0.387,0.387082373
0.388,0.388082799
0.389,0.389083227
0.39,0.390083655
0.391,0.391084085
0.392,0.392084515
0.393,0.393084947
0.394,0.39408538
0.395,0.395085814
0.396,0.396086249
0.397,0.397086685
0.398,0.398087122
0.399,0.399087561
0.4,0.400088
0.401,0.401088441
0.402,0.402088882
0.403,0.403089325
0.404,0.404089769
0.405,0.405090214
0.406,0.40609066
0.407,0.407091107
0.408,0.408091555
0.409,0.409092005
0.41,0.410092455
0.411,0.411092907
0.412,0.412093359
0.413,0.413093813
0.414,0.414094268
0.415,0.415094724
0.416,0.416095181
0.417,0.417095639
0.418,0.418096098
0.419,0.419096559
0.42,0.42009702
0.421,0.421097483
0.422,0.422097946
0.423,0.423098411
0.424,0.424098877
0.425,0.425099344
0.426,0.426099812
0.427,0.427100281
0.428,0.428100751
0.429,0.429101223
0.43,0.430101695
0.431,0.431102169
0.432,0.432102643
0.433,0.433103119
0.434,0.434103596
0.435,0.435104074
0.436,0.436104553
0.437,0.437105033
0.438,0.438105514
0.439,0.439105997
0.44,0.44010648
0.441,0.441106965
0.442,0.44210745
0.443,0.443107937
0.444,0.444108425
0.445,0.445108914
0.446,0.446109404
0.447,0.447109895
0.448,0.448110387
0.449,0.449110881
0.45,0.450111375
0.451,0.451111871
0.452,0.452112367
0.453,0.453112865
0.454,0.454113364
0.455,0.455113864
0.456,0.456114365
0.457,0.457114867
0.458,0.45811537
0.459,0.459115875
0.46,0.46011638
0.461,0.461116887
0.462,0.462117394
0.463,0.463117903
0.464,0.464118413
0.465,0.465118924
0.466,0.466119436
0.467,0.467119949
0.468,0.468120463
0.469,0.469120979
0.47,0.470121495
0.471,0.471122013
0.472,0.472122531
0.473,0.473123051
0.474,0.474123572
0.475,0.475124094
0.476,0.476124617
0.477,0.477125141
0.478,0.478125666
0.479,0.479126193
0.48,0.48012672
0.481,0.481127249
0.482,0.482127778
0.483,0.483128309
0.484,0.484128841
0.485,0.485129374
0.486,0.486129908
0.487,0.487130443
0.488,0.488130979
0.489,0.489131517
0.49,0.490132055
0.491,0.491132595
0.492,0.492133135
0.493,0.493133677
0.494,0.49413422
0.495,0.495134764
0.496,0.496135309
0.497,0.497135855
0.498,0.498136402
0.499,0.499136951
0.5,0.5001375
0.501,0.501138051
0.502,0.502138602
0.503,0.503139155
0.504,0.504139709
0.505,0.505140264
0.506,0.50614082
0.507,0.507141377
0.508,0.508141935
0.509,0.509142495
0.51,0.510143055
0.511,0.511143617
0.512,0.512144179
0.513,0.513144743
0.514,0.514145308
0.515,0.515145874
0.516,0.516146441
0.517,0.517147009
0.518,0.518147578
0.519,0.519148149
0.52,0.52014872
0.521,0.521149293
0.522,0.522149866
0.523,0.523150441
0.524,0.524151017
0.525,0.525151594
0.526,0.526152172
0.527,0.527152751
0.528,0.528153331
0.529,0.529153913
0.53,0.530154495
0.531,0.531155079
0.532,0.532155663
0.533,0.533156249
0.534,0.534156836
0.535,0.535157424
0.536,0.536158013
0.537,0.537158603
0.538,0.538159194
0.539,0.539159787
0.54,0.54016038
0.541,0.541160975
0.542,0.54216157
0.543,0.543162167
0.544,0.544162765
0.545,0.545163364
0.546,0.546163964
0.547,0.547164565
0.548,0.548165167
0.549,0.549165771
0.55,0.550166375
0.551,0.551166981
0.552,0.552167587
0.553,0.553168195
0.554,0.554168804
0.555,0.555169414
0.556,0.556170025
0.557,0.557170637
0.558,0.55817125
0.559,0.559171865
0.56,0.56017248
0.561,0.561173097
0.562,0.562173714
0.563,0.563174333
0.564,0.564174953
0.565,0.565175574
0.566,0.566176196
0.567,0.567176819
0.568,0.568177443
0.569,0.569178069
0.57,0.570178695
0.571,0.571179323
0.572,0.572179951
0.573,0.573180581
0.574,0.574181212
0.575,0.575181844
0.576,0.576182477
0.577,0.577183111
0.578,0.578183746
0.579,0.579184383
0.58,0.58018502
0.581,0.581185659
0.582,0.582186298
0.583,0.583186939
0.584,0.584187581
0.585,0.585188224
0.586,0.586188868
0.587,0.587189513
0.588,0.588190159
0.589,0.589190807
0.59,0.590191455
0.591,0.591192105
0.592,0.592192755
0.593,0.593193407
0.594,0.59419406
0.595,0.595194714
0.596,0.596195369
0.597,0.597196025
0.598,0.598196682
0.599,0.599197341
0.6,0.600198
0.601,0.601198661
0.602,0.602199322
0.603,0.603199985
0.604,0.604200649
0.605,0.605201314
0.606,0.60620198
0.607,0.607202647
0.608,0.608203315
0.609,0.609203985
0.61,0.610204655
0.611,0.611205327
0.612,0.612205999
0.613,0.613206673
0.614,0.614207348
0.615,0.615208024
0.616,0.616208701
0.617,0.617209379
0.618,0.618210058
0.619,0.619210739
0.62,0.62021142
0.621,0.621212103
0.622,0.622212786
0.623,0.623213471
0.624,0.624214157
0.625,0.625214844
0.626,0.626215532
0.627,0.627216221
0.628,0.628216911
0.629,0.629217603
0.63,0.630218295
0.631,0.631218989
0.632,0.632219683
0.633,0.633220379
0.634,0.634221076
0.635,0.635221774
0.636,0.636222473
0.637,0.637223173
0.638,0.638223874
0.639,0.639224577
0.64,0.64022528
0.641,0.641225985
0.642,0.64222669
0.643,0.643227397
0.644,0.644228105
0.645,0.645228814
0.646,0.646229524
0.647,0.647230235
0.648,0.648230947
0.649,0.649231661
0.65,0.650232375
0.651,0.651233091
0.652,0.652233807
0.653,0.653234525
0.654,0.654235244
0.655,0.655235964
0.656,0.656236685
0.657,0.657237407
0.658,0.65823813
0.659,0.659238855
0.66,0.66023958
0.661,0.661240307
0.662,0.662241034
0.663,0.663241763
0.664,0.664242493
0.665,0.665243224
0.666,0.666243956
0.667,0.667244689
0.668,0.668245423
0.669,0.669246159
0.67,0.670246895
0.671,0.671247633
0.672,0.672248371
0.673,0.673249111
0.674,0.674249852
0.675,0.675250594
0.676,0.676251337
0.677,0.677252081
0.678,0.678252826
0.679,0.679253573
0.68,0.68025432
0.681,0.681255069
0.682,0.682255818
0.683,0.683256569
0.684,0.684257321
0.685,0.685258074
0.686,0.686258828
0.687,0.687259583
0.688,0.688260339
0.689,0.689261097
0.69,0.690261855
0.691,0.691262615
0.692,0.692263375
0.693,0.693264137
0.694,0.6942649
0.695,0.695265664
0.696,0.696266429
0.697,0.697267195
0.698,0.698267962
0.699,0.699268731
0.7,0.7002695
0.701,0.701270271
0.702,0.702271042
0.703,0.703271815
0.704,0.704272589
0.705,0.705273364
0.706,0.70627414
0.707,0.707274917
0.708,0.708275695
0.709,0.709276475
0.71,0.710277255
0.711,0.711278037
0.712,0.712278819
0.713,0.713279603
0.714,0.714280388
0.715,0.715281174
0.716,0.716281961
0.717,0.717282749
0.718,0.718283538
0.719,0.719284329
0.72,0.72028512
0.721,0.721285913
0.722,0.722286706
0.723,0.723287501
0.724,0.724288297
0.725,0.725289094
0.726,0.726289892
0.727,0.727290691
0.728,0.728291491
0.729,0.729292293
0.73,0.730293095
0.731,0.731293899
0.732,0.732294703
0.733,0.733295509
0.734,0.734296316
0.735,0.735297124
0.736,0.736297933
0.737,0.737298743
0.738,0.738299554
0.739,0.739300367
0.74,0.74030118
0.741,0.741301995
0.742,0.74230281
0.743,0.743303627
0.744,0.744304445
0.745,0.745305264
0.746,0.746306084
0.747,0.747306905
0.748,0.748307727
0.749,0.749308551
0.75,0.750309375
0.751,0.751310201
0.752,0.752311027
0.753,0.753311855
0.754,0.754312684
0.755,0.755313514
0.756,0.756314345
0.757,0.757315177
0.758,0.75831601
0.759,0.759316845
0.76,0.76031768
0.761,0.761318517
0.762,0.762319354
0.763,0.763320193
0.764,0.764321033
0.765,0.765321874
0.766,0.766322716
0.767,0.767323559
0.768,0.768324403
0.769,0.769325249
0.77,0.770326095
0.771,0.771326943
0.772,0.772327791
0.773,0.773328641
0.774,0.774329492
0.775,0.775330344
0.776,0.776331197
0.777,0.777332051
0.778,0.778332906
0.779,0.779333763
0.78,0.78033462
0.781,0.781335479
0.782,0.782336338
0.783,0.783337199
0.784,0.784338061
0.785,0.785338924
0.786,0.786339788
0.787,0.787340653
0.788,0.788341519
0.789,0.789342387
0.79,0.790343255
0.791,0.791344125
0.792,0.792344995
0.793,0.793345867
0.794,0.79434674
0.795,0.795347614
0.796,0.796348489
0.797,0.797349365
0.798,0.798350242
0.799,0.799351121
0.8,0.800352
0.801,0.801352881
0.802,0.802353762
0.803,0.803354645
0.804,0.804355529
0.805,0.805356414
0.806,0.8063573
0.807,0.807358187
0.808,0.808359075
0.809,0.809359965
0.81,0.810360855
0.811,0.811361747
0.812,0.812362639
0.813,0.813363533
0.814,0.814364428
0.815,0.815365324
0.816,0.816366221
0.817,0.817367119
0.818,0.818368018
0.819,0.819368919
0.82,0.82036982
0.821,0.821370723
0.822,0.822371626
0.823,0.823372531
0.824,0.824373437
0.825,0.825374344
0.826,0.826375252
0.827,0.827376161
0.828,0.828377071
0.829,0.829377983
0.83,0.830378895
0.831,0.831379809
0.832,0.832380723
0.833,0.833381639
0.834,0.834382556
0.835,0.835383474
0.836,0.836384393
0.837,0.837385313
0.838,0.838386234
0.839,0.839387157
0.84,0.84038808
0.841,0.841389005
0.842,0.84238993
0.843,0.843390857
0.844,0.844391785
0.845,0.845392714
0.846,0.846393644
0.847,0.847394575
0.848,0.848395507
0.849,0.849396441
0.85,0.850397375
0.851,0.851398311
0.852,0.852399247
0.853,0.853400185
0.854,0.854401124
0.855,0.855402064
0.856,0.856403005
0.857,0.857403947
0.858,0.85840489
0.859,0.859405835
0.86,0.86040678
0.861,0.861407727
0.862,0.862408674
0.863,0.863409623
0.864,0.864410573
0.865,0.865411524
0.866,0.866412476
0.867,0.867413429
0.868,0.868414383
0.869,0.869415339
0.87,0.870416295
0.871,0.871417253
0.872,0.872418211
0.873,0.873419171
0.874,0.874420132
0.875,0.875421094
0.876,0.876422057
0.877,0.877423021
0.878,0.878423986
0.879,0.879424953
0.88,0.88042592
0.881,0.881426889
0.882,0.882427858
0.883,0.883428829
0.884,0.884429801
0.885,0.885430774
0.886,0.886431748
0.887,0.887432723
0.888,0.888433699
0.889,0.889434677
0.89,0.890435655
0.891,0.891436635
0.892,0.892437615
0.893,0.893438597
0.894,0.89443958
0.895,0.895440564
0.896,0.896441549
0.897,0.897442535
0.898,0.898443522
0.899,0.899444511
0.9,0.9004455
0.901,0.901446491
0.902,0.902447482
0.903,0.903448475
0.904,0.904449469
0.905,0.905450464
0.906,0.90645146
0.907,0.907452457
0.908,0.908453455
0.909,0.909454455
0.91,0.910455455
0.911,0.911456457
0.912,0.912457459
0.913,0.913458463
0.914,0.914459468
0.915,0.915460474
0.916,0.916461481
0.917,0.917462489
0.918,0.918463498
0.919,0.919464509
0.92,0.92046552
0.921,0.921466533
0.922,0.922467546
0.923,0.923468561
0.924,0.924469577
0.925,0.925470594
0.926,0.926471612
0.927,0.927472631
0.928,0.928473651
0.929,0.929474673
0.93,0.930475695
0.931,0.931476719
0.932,0.932477743
0.933,0.933478769
0.934,0.934479796
0.935,0.935480824
0.936,0.936481853
0.937,0.937482883
0.938,0.938483914
0.939,0.939484947
0.94,0.94048598
0.941,0.941487015
0.942,0.94248805
0.943,0.943489087
0.944,0.944490125
0.945,0.945491164
0.946,0.946492204
0.947,0.947493245
0.948,0.948494287
0.949,0.949495331
0.95,0.950496375
0.951,0.951497421
0.952,0.952498467
0.953,0.953499515
0.954,0.954500564
0.955,0.955501614
0.956,0.956502665
0.957,0.957503717
0.958,0.95850477
0.959,0.959505825
0.96,0.96050688
0.961,0.961507937
0.962,0.962508994
0.963,0.963510053
0.964,0.964511113
0.965,0.965512174
0.966,0.966513236
0.967,0.967514299
0.968,0.968515363
0.969,0.969516429
0.97,0.970517495
0.971,0.971518563
0.972,0.972519631
0.973,0.973520701
0.974,0.974521772
0.975,0.975522844
0.976,0.976523917
0.977,0.977524991
0.978,0.978526066
0.979,0.979527143
0.98,0.98052822
0.981,0.981529299
0.982,0.982530378
0.983,0.983531459
0.984,0.984532541
0.985,0.985533624
0.986,0.986534708
0.987,0.987535793
0.988,0.988536879
0.989,0.989537967
0.99,0.990539055
0.991,0.991540145
0.992,0.992541235
0.993,0.993542327
0.994,0.99454342
0.995,0.995544514
0.996,0.996545609
0.997,0.997546705
0.998,0.998547802
0.999,0.999548901
1,1.00055
